Date Time,Pass Timer,NoCar Timer,Bounces,Car#,Cars In Park,Temp,Last Car Millis, This Car Millis,Bounce Flag,Millis
2024-11-08 16:21:05, 11594, 29, 13, 52 , 748452
2024-11-08 16:21:05, 28386, 30, 14, 51 , 2745416
2024-11-08 16:21:05, 1312, 1, -1, 48 , 55972126
2024-11-08 16:21:05, 14454, 2, -1, 50 , 58507445
2024-11-08 16:21:05, 15796, 3, 1, 52 , 60525826
2024-11-08 16:21:05, 1073, 4, 4, 54 , 63339342
2024-11-08 16:21:05, 9223, 5, 4, 54 , 63447467
2024-11-08 16:21:05, 21267, 6, 6, 54 , 63896733
2024-11-08 16:21:05, 386, 7, 10, 56 , 65712925
2024-11-08 16:21:05, 15993, 8, 9, 55 , 65713423
2024-11-08 16:21:05, 31628, 9, 9, 56 , 66730318
2024-11-08 16:21:05, 25298, 10, 11, 57 , 66891923
2024-11-08 16:21:05, 2671, 11, 11, 59 , 68232938
2024-11-09 11:58:12, 8351, 12, 14, 56 , 185805
2024-11-09 11:58:12, 14025, 13, 13, 56 , 256747
2024-11-09 11:58:12, 19011, 14, 16, 56 , 1400380
2024-11-09 11:58:12, 16212, 15, 19, 58 , 3196112
2024-11-09 11:58:12, 15969, 16, 19, 57 , 6072843
2024-11-09 11:58:12, 16745, 17, 24, 57 , 7669699
2024-11-09 11:58:12, 6646, 18, 23, 57 , 7741496
2024-11-09 11:58:12, 5044, 19, 22, 57 , 8540381
2024-11-09 11:58:12, 3978, 20, 21, 57 , 8645680
2024-11-09 11:58:12, 6861, 21, 20, 57 , 8655744
2024-11-09 14:27:12, 1544, 22, 19, 57 , 95723
2024-11-09 14:27:12, 2142, 23, 18, 56 , 274391
2024-11-09 14:27:12, 1359, 24, 17, 56 , 291952
2024-11-09 14:27:12, 1886, 25, 16, 56 , 405176
2024-11-09 14:27:12, 6181, 26, 15, 56 , 413782
2024-11-09 14:27:12, 3652, 27, 14, 56 , 485013
2024-11-09 14:27:12, 1945, 28, 13, 55 , 509836
2024-11-09 14:27:12, 5628, 29, 12, 56 , 521628
2024-11-09 14:27:12, 5140, 30, 11, 55 , 817001
2024-11-09 14:27:12, 5719, 31, 10, 55 , 839425
2024-11-09 14:27:12, 4364, 32, 10, 55 , 1164159
2024-11-09 14:27:12, 907, 33, 9, 55 , 1172054
2024-11-09 14:27:12, 318, 34, 8, 55 , 1175836
2024-11-09 14:27:12, 1662, 35, 7, 55 , 1184348
2024-11-09 14:27:12, 92, 36, 6, 55 , 1191853
2024-11-09 14:27:12, 324, 37, 5, 55 , 1192148
2024-11-09 14:27:12, 2305, 38, 4, 55 , 1200359
2024-11-09 14:27:12, 82, 39, 3, 55 , 1204596
2024-11-09 14:27:12, 3610, 40, 2, 55 , 1208858
2024-11-09 14:27:12, 1918, 41, 1, 55 , 1213104
2024-11-09 14:27:12, 1848, 42, 0, 55 , 1217369
2024-11-09 14:27:12, 1452, 43, -1, 55 , 1221627
2024-11-09 14:27:12, 67, 44, -2, 55 , 1226148
2024-11-09 14:27:12, 173, 45, -3, 55 , 1234366
2024-11-09 14:27:12, 221, 46, -4, 55 , 1329294
2024-11-09 14:27:12, 49, 47, -5, 55 , 1333964
2024-11-09 14:27:12, 1060, 48, -6, 55 , 1342069
2024-11-09 14:27:12, 2290, 49, -7, 55 , 1346315
2024-11-09 14:27:12, 2216, 50, -8, 55 , 1350560
2024-11-09 14:27:12, 388, 51, -9, 55 , 1354819
2024-11-09 14:27:12, 393, 52, -10, 55 , 1359530
2024-11-09 14:27:12, 18658, 53, -11, 54 , 1376081
2024-11-09 14:27:12, 12, 54, -12, 54 , 1397356
2024-11-09 14:27:12, 166, 55, -13, 54 , 1397655
2024-11-09 14:27:12, 57507, 56, -14, 54 , 1400523
2024-11-09 14:27:12, 3458, 57, -15, 55 , 1463343
2024-11-09 14:27:12, 7150, 58, -16, 54 , 1530021
2024-11-09 14:27:12, 6230, 59, -17, 55 , 1607968
2024-11-09 14:27:12, 6972, 60, -18, 54 , 1655110
2024-11-09 14:27:12, 6229, 61, -19, 55 , 1769815
2024-11-09 14:27:12, 5315, 62, -20, 55 , 1824974
2024-11-09 14:27:12, 1347, 63, -21, 54 , 1839206
2024-11-09 14:27:12, 2129, 64, -22, 54 , 1859356
2024-11-09 14:27:12, 947, 65, -23, 54 , 1874385
2024-11-09 14:27:12, 2180, 66, -24, 54 , 1884234
2024-11-09 14:27:12, 52609, 67, -25, 54 , 1906665
2024-11-09 14:27:12, 6560, 68, -26, 54 , 2177687
2024-11-09 14:27:12, 672, 69, -27, 54 , 2202481
2024-11-09 14:27:12, 168, 70, -28, 54 , 2236019
2024-11-09 14:27:12, 37490, 71, -29, 54 , 2244522
2024-11-09 14:27:12, 30862, 72, -30, 54 , 2287072
2024-11-09 14:27:12, 2011, 73, -31, 54 , 2318127
2024-11-09 15:09:51, 998, 74, -32, 54 , 60337
2024-11-09 15:09:51, 42412, 75, -33, 54 , 119924
2024-11-09 15:09:51, 3630, 76, -34, 54 , 273906
2024-11-09 15:21:55, 9658, 77, -34, 54 , 204011
2024-11-09 15:21:55, 8029, 78, -35, 54 , 222182
2024-11-09 15:21:55, 15364, 79, -36, 54 , 246709
2024-11-09 15:21:55, 17168, 80, -37, 54 , 270422
2024-11-09 15:21:55, 1809, 81, -35, 53 , 1698822
2024-11-09 15:21:55, 1463, 82, -3, 52 , 6155325
2024-11-09 17:44:00, 404, 1, 84, 53 , 1738128
2024-11-09 17:44:00, 92, 2, 86, 53 , 4681463
2024-11-09 17:44:00, 21399, 3, 85, 53 , 4681637
2024-11-09 17:44:00, 1640, 4, 84, 54 , 6088993
2024-11-09 17:44:00, 19950, 5, 83, 54 , 6174583
2024-11-09 17:44:00, 15749, 6, 82, 54 , 9033039
2024-11-09 17:44:00, 594, 1, -1, 53 , 52921843
2024-11-09 17:44:00, 917, 2, -1, 54 , 58734774
2024-11-09 17:44:00, 110, 3, 1, 54 , 67584917
2024-11-09 17:44:00, 47, 4, 2, 55 , 68688377
2024-11-10 12:53:10, 1103, 5, 3, 54 , 281652
2024-11-10 12:53:10, 14931, 6, 2, 55 , 310873
2024-11-10 12:53:10, 13018, 7, 1, 54 , 387753
2024-11-10 12:53:10, 13016, 8, 0, 55 , 466481
2024-11-10 12:53:10, 982, 9, -1, 55 , 559137
2024-11-10 12:53:10, 13363, 10, -2, 54 , 614953
2024-11-10 12:53:10, 9911, 11, -3, 55 , 652612
2024-11-10 12:53:10, 2785, 12, -4, 55 , 673363
2024-11-10 12:53:10, 3380, 13, -5, 55 , 683717
2024-11-10 12:53:10, 3312, 14, -6, 54 , 711868
2024-11-10 12:53:10, 2497, 15, -7, 55 , 723323
2024-11-10 12:53:10, 3022, 16, -8, 55 , 735308
2024-11-10 12:53:10, 1345, 17, -9, 54 , 751091
