ms,Beam,mag12401265,1,0
12401383,1,0
12401504,1,1
12401618,1,1
12401732,1,1
12401847,1,1
12401960,1,0
12402078,1,0
12402193,1,0
12402307,1,0
12402421,1,0
12402535,1,0
12402649,1,0
12402764,1,0
12402878,1,0
12402992,1,0
12403106,1,0
12403220,1,0
12403335,1,0
12403450,1,0
12403564,1,0
12403678,1,0
12403792,1,0
12403906,1,0
12404021,1,0
12404136,1,0
12404250,1,0
12404442,0,0
12404558,0,0
12404672,0,0
12404786,0,0
12404900,0,0
12405013,0,0
12405126,0,0
12405240,0,0
12405354,0,0
12405468,0,0
12405582,0,0
12405696,0,1
12405819,0,1
12405935,0,1
12406049,0,1
12406163,0,1
12406282,0,0
12406397,0,0
12406511,0,0
12406625,0,0
12406739,0,0
12406853,0,0
12406967,0,0
12407081,0,0
12407196,0,0
12407310,0,0
12407424,0,0
12407538,0,0
12407652,0,0
12407766,0,0
12407881,0,0
12407995,0,0
12408109,0,0
12408234,0,0
12408347,0,0
12408461,0,0
12408575,0,0
12408689,0,0
12408804,0,0
12408918,0,0
12409031,0,0
12409145,0,0
12409259,0,0
12409373,0,0
12409487,0,0
12409601,0,0
12409715,0,0
12409843,0,0
12409958,0,0
12410072,0,0
12410191,0,0
12410308,0,0
12410421,0,0
12410535,0,0
12410650,0,0
12410764,0,0
12410878,0,0
12410992,0,0
12411107,0,0
12411221,0,0
12411336,0,0
12411449,0,0
12411563,0,0
12411677,0,0
12411791,0,0
12411905,0,0
12412019,0,0
12412132,0,0
12412246,0,0
12412360,0,0
12412474,0,0
12412588,0,0
12412702,0,0
12412816,0,0
12412930,0,0
12413045,0,0
12413159,0,0
12413273,0,0
12413387,0,0
12413501,0,0
12413615,0,0
12413729,0,0
12413843,0,0
12413957,0,0
12414071,0,0
12414185,0,0
12414305,1,0
12414420,1,0
12414533,1,0
12414648,1,0
12414762,1,0
12414878,1,0
12414992,1,0
12415106,1,0
12415220,1,0
12415334,1,1
12415454,1,1
12415569,1,1
12415683,1,1
12415797,1,1
12415917,1,0
12416032,1,0
12416146,1,0
12416260,1,0
12416374,1,0
12416488,1,0
12416602,1,0
12416715,1,0
12416829,0,0
12416982,0,0
12417100,0,0
12417214,0,0
12417328,0,0
12417442,0,0
12417556,0,0
12417670,0,0
12417784,0,0
12417898,0,0
12418012,0,0
12418126,0,0
12418240,0,0
12418354,0,0
12418467,0,0
12418581,0,0
12418695,0,0
12418809,0,0
12418922,0,0
12419035,0,0
12419150,0,0
12419264,0,0
12419380,0,0
12419494,0,0
12419608,0,0
12419722,0,0
12419850,0,0
12419966,0,0
12420080,0,0
12420193,0,0
12420307,0,0
12420422,0,0
12420536,0,0
12420650,0,0
12420764,0,0
12420878,0,0
12420993,0,0
12421106,0,0
12421220,0,0
12421334,0,0
12421448,0,0
12421562,0,0
12421676,0,0
