entity_id,state,last_changed
sensor.exit_beamsensor_avg_high_ms,2252,2024-12-28T23:43:19.615Z
sensor.exit_beamsensor_avg_high_ms,2329,2024-12-28T23:43:31.679Z
sensor.exit_beamsensor_avg_high_ms,2304,2024-12-28T23:43:40.848Z
sensor.exit_beamsensor_avg_high_ms,2371,2024-12-28T23:43:52.674Z
sensor.exit_beamsensor_avg_high_ms,2229,2024-12-28T23:44:00.004Z
sensor.exit_beamsensor_avg_high_ms,2170,2024-12-28T23:44:06.013Z
sensor.exit_beamsensor_avg_high_ms,2124,2024-12-28T23:44:17.548Z
sensor.exit_beamsensor_avg_high_ms,2227,2024-12-28T23:44:29.442Z
sensor.exit_beamsensor_avg_high_ms,2291,2024-12-28T23:44:34.591Z
sensor.exit_beamsensor_avg_high_ms,2339,2024-12-28T23:44:42.605Z
sensor.exit_beamsensor_avg_high_ms,2344,2024-12-28T23:44:47.612Z
sensor.exit_beamsensor_avg_high_ms,2265,2024-12-28T23:44:59.119Z
sensor.exit_beamsensor_avg_high_ms,2267,2024-12-28T23:45:07.766Z
sensor.exit_beamsensor_avg_high_ms,2371,2024-12-28T23:45:18.366Z
sensor.exit_beamsensor_avg_high_ms,2334,2024-12-28T23:45:34.390Z
sensor.exit_beamsensor_avg_high_ms,2770,2024-12-28T23:46:04.858Z
sensor.exit_beamsensor_avg_high_ms,2904,2024-12-28T23:46:17.542Z
sensor.exit_beamsensor_avg_high_ms,2936,2024-12-28T23:46:25.925Z
sensor.exit_beamsensor_avg_high_ms,2874,2024-12-28T23:46:38.255Z
sensor.exit_beamsensor_avg_high_ms,2858,2024-12-28T23:46:49.077Z
sensor.exit_beamsensor_avg_high_ms,2874,2024-12-28T23:47:00.510Z
sensor.exit_beamsensor_avg_high_ms,2949,2024-12-28T23:47:15.251Z
sensor.exit_beamsensor_avg_high_ms,3017,2024-12-28T23:47:23.323Z
sensor.exit_beamsensor_avg_high_ms,3043,2024-12-28T23:47:36.186Z
sensor.exit_beamsensor_avg_high_ms,3046,2024-12-28T23:47:41.264Z
sensor.exit_beamsensor_avg_high_ms,3082,2024-12-28T23:47:49.330Z
sensor.exit_beamsensor_avg_high_ms,2806,2024-12-28T23:47:56.965Z
sensor.exit_beamsensor_avg_high_ms,2696,2024-12-28T23:48:04.295Z
sensor.exit_beamsensor_avg_high_ms,2590,2024-12-28T23:48:10.516Z
sensor.exit_beamsensor_avg_high_ms,2696,2024-12-28T23:48:30.603Z
sensor.exit_beamsensor_avg_high_ms,2731,2024-12-28T23:48:37.376Z
sensor.exit_beamsensor_avg_high_ms,2685,2024-12-28T23:48:45.627Z
sensor.exit_beamsensor_avg_high_ms,2611,2024-12-28T23:49:02.364Z
sensor.exit_beamsensor_avg_high_ms,2592,2024-12-28T23:49:16.391Z
sensor.exit_beamsensor_avg_high_ms,2584,2024-12-28T23:49:23.392Z
sensor.exit_beamsensor_avg_high_ms,2597,2024-12-28T23:49:35.254Z
