entity_id,state,last_changed
sensor.exit_beamsensor_min_ms,2283,2024-12-28T23:56:53.476Z
sensor.exit_beamsensor_min_ms,2091,2024-12-28T23:57:23.914Z
sensor.exit_beamsensor_min_ms,2227,2024-12-28T23:57:53.335Z
sensor.exit_beamsensor_min_ms,2427,2024-12-28T23:58:30.577Z
sensor.exit_beamsensor_min_ms,2597,2024-12-28T23:58:38.480Z
sensor.exit_beamsensor_min_ms,3449,2024-12-28T23:59:39.412Z
sensor.exit_beamsensor_min_ms,2357,2024-12-28T23:59:49.671Z
sensor.exit_beamsensor_min_ms,2316,2024-12-29T00:00:29.442Z
sensor.exit_beamsensor_min_ms,1832,2024-12-29T00:00:56.917Z
sensor.exit_beamsensor_min_ms,2161,2024-12-29T00:01:39.977Z
sensor.exit_beamsensor_min_ms,2287,2024-12-29T00:01:50.180Z
sensor.exit_beamsensor_min_ms,2223,2024-12-29T00:02:01.258Z
sensor.exit_beamsensor_min_ms,2378,2024-12-29T00:02:30.894Z
sensor.exit_beamsensor_min_ms,2380,2024-12-29T00:02:36.857Z
sensor.exit_beamsensor_min_ms,1723,2024-12-29T00:02:44.128Z
sensor.exit_beamsensor_min_ms,1715,2024-12-29T00:02:59.423Z
sensor.exit_beamsensor_min_ms,1625,2024-12-29T00:03:10.319Z
sensor.exit_beamsensor_min_ms,2297,2024-12-29T00:03:52.826Z
sensor.exit_beamsensor_min_ms,2411,2024-12-29T00:04:08.630Z
sensor.exit_beamsensor_min_ms,5266,2024-12-29T00:04:20.114Z
sensor.exit_beamsensor_min_ms,3513,2024-12-29T00:04:28.597Z
sensor.exit_beamsensor_min_ms,2157,2024-12-29T00:04:46.876Z
sensor.exit_beamsensor_min_ms,1781,2024-12-29T00:04:51.025Z
sensor.exit_beamsensor_min_ms,1783,2024-12-29T00:05:46.735Z
sensor.exit_beamsensor_min_ms,2400,2024-12-29T00:06:28.926Z
sensor.exit_beamsensor_min_ms,2750,2024-12-29T00:06:49.372Z
sensor.exit_beamsensor_min_ms,2189,2024-12-29T00:07:04.458Z
sensor.exit_beamsensor_min_ms,2712,2024-12-29T00:07:51.287Z
sensor.exit_beamsensor_min_ms,2878,2024-12-29T00:08:11.586Z
sensor.exit_beamsensor_min_ms,2445,2024-12-29T00:08:21.115Z
sensor.exit_beamsensor_min_ms,1718,2024-12-29T00:08:27.236Z
sensor.exit_beamsensor_min_ms,2996,2024-12-29T00:09:43.574Z
sensor.exit_beamsensor_min_ms,2133,2024-12-29T00:10:00.913Z
sensor.exit_beamsensor_min_ms,2513,2024-12-29T00:10:39.135Z
sensor.exit_beamsensor_min_ms,2214,2024-12-29T00:10:44.622Z
sensor.exit_beamsensor_min_ms,2155,2024-12-29T00:11:01.806Z
sensor.exit_beamsensor_min_ms,2203,2024-12-29T00:11:32.678Z
sensor.exit_beamsensor_min_ms,2409,2024-12-29T00:11:46.004Z
sensor.exit_beamsensor_min_ms,2468,2024-12-29T00:11:55.678Z
sensor.exit_beamsensor_min_ms,2309,2024-12-29T00:12:04.166Z
sensor.exit_beamsensor_min_ms,1652,2024-12-29T00:12:16.498Z
sensor.exit_beamsensor_min_ms,2155,2024-12-29T00:12:50.558Z
sensor.exit_beamsensor_min_ms,1542,2024-12-29T00:13:06.764Z
sensor.exit_beamsensor_min_ms,1979,2024-12-29T00:13:43.164Z
sensor.exit_beamsensor_min_ms,2245,2024-12-29T00:13:53.610Z
sensor.exit_beamsensor_min_ms,1788,2024-12-29T00:14:00.556Z
sensor.exit_beamsensor_min_ms,2382,2024-12-29T00:14:44.724Z
sensor.exit_beamsensor_min_ms,2688,2024-12-29T00:14:56.129Z
sensor.exit_beamsensor_min_ms,3382,2024-12-29T00:15:46.579Z
sensor.exit_beamsensor_min_ms,1915,2024-12-29T00:16:06.426Z
sensor.exit_beamsensor_min_ms,2513,2024-12-29T00:17:03.351Z
sensor.exit_beamsensor_min_ms,2254,2024-12-29T00:17:14.399Z
sensor.exit_beamsensor_min_ms,2116,2024-12-29T00:17:28.945Z
sensor.exit_beamsensor_min_ms,2183,2024-12-29T00:17:56.522Z
sensor.exit_beamsensor_min_ms,1750,2024-12-29T00:18:02.335Z
sensor.exit_beamsensor_min_ms,2129,2024-12-29T00:18:33.692Z
sensor.exit_beamsensor_min_ms,2282,2024-12-29T00:19:05.441Z
sensor.exit_beamsensor_min_ms,2345,2024-12-29T00:19:30.872Z
sensor.exit_beamsensor_min_ms,2320,2024-12-29T00:19:46.655Z
sensor.exit_beamsensor_min_ms,2041,2024-12-29T00:19:54.338Z
sensor.exit_beamsensor_min_ms,2027,2024-12-29T00:20:06.074Z
sensor.exit_beamsensor_min_ms,1624,2024-12-29T00:20:14.129Z
sensor.exit_beamsensor_min_ms,2317,2024-12-29T00:21:00.744Z
sensor.exit_beamsensor_min_ms,2657,2024-12-29T00:21:31.859Z
sensor.exit_beamsensor_min_ms,2360,2024-12-29T00:21:39.720Z
sensor.exit_beamsensor_min_ms,2879,2024-12-29T00:22:16.722Z
sensor.exit_beamsensor_min_ms,2627,2024-12-29T00:22:32.294Z
sensor.exit_beamsensor_min_ms,2261,2024-12-29T00:22:51.052Z
sensor.exit_beamsensor_min_ms,2003,2024-12-29T00:23:16.328Z
sensor.exit_beamsensor_min_ms,2680,2024-12-29T00:23:43.157Z
